Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      352.3   239.1   160.7   218.6   234.3   323.9   372.7   401.8   424.5   451.7   488.2   546.2   685.5  2227.3  9474.1  30303.1    30325  1715431471462  1715431481582
read      349.5   227.8   148.8   221.6   236.5   322.3   370.8   399.1   420.8   446.5   480.5   534.4   658.2  2077.9 10678.5  30369.1    30330  1715431483093  1715431493207
read      354.1   225.7   160.7   222.4   237.8   327.7   376.3   404.4   426.7   453.2   488.3   544.4   681.4  1972.4 10615.2  30350.6    30335  1715431494716  1715431504837
read      351.6   238.7   160.7   223.3   239.1   325.0   372.4   400.6   422.4   448.1   482.1   536.9   669.7  1384.1 10960.6  30411.9    30340  1715431506347  1715431516465
read      337.8   215.5   160.7   223.4   237.8   311.2   353.1   380.1   400.5   426.7   460.3   509.3   618.6  1975.5  8774.1  30297.5    30345  1715431517973  1715431528092
read      339.5   246.7   160.7   219.3   232.5   309.8   353.7   382.1   403.3   431.2   466.4   520.3   648.2  2548.7 10778.8  30307.3    30350  1715431529600  1715431539716
read      343.5   195.3   160.7   221.8   236.6   318.5   365.1   393.0   413.9   438.6   471.1   524.1   638.0  1412.6  8471.0  30315.3    30355  1715431541227  1715431551344
read      347.1   212.8   160.7   220.4   235.1   320.6   369.0   397.7   419.3   444.7   478.2   533.7   666.6  1616.7 10895.1  30302.7    30360  1715431552852  1715431562972
read      338.8   218.9   160.7   219.6   232.4   311.2   356.5   384.9   405.6   432.7   467.4   521.0   639.8  1887.9  8778.8  30369.3    30365  1715431564483  1715431574604
read      337.6   221.1   160.7   220.4   234.0   309.7   352.7   380.5   401.2   427.6   462.1   515.1   639.4  2152.4 10353.6  30405.5    30370  1715431576112  1715431586231
read      350.3   203.0   160.7   222.0   237.6   323.8   371.5   400.1   422.2   448.8   484.2   540.8   678.5  1623.8  8606.5  30387.3    30375  1715431587741  1715431597865
read      338.5   209.5   160.7   221.0   234.2   310.9   356.8   385.5   406.4   433.0   466.9   518.7   629.4  1740.5  8530.2  30393.9    30380  1715431599375  1715431609493
read      339.3   225.3   160.7   216.3   230.2   311.4   357.3   385.9   406.5   433.2   467.2   520.6   650.4  2314.0  8721.3  30436.2    30385  1715431611003  1715431621116
read      337.3   202.5   160.7   220.5   233.5   309.0   353.5   381.9   402.8   429.7   464.8   519.2   640.1  2032.3  8239.3  30308.2    30390  1715431622625  1715431632738
read      340.1   221.5   160.7   219.0   232.4   313.5   358.6   386.6   406.8   433.2   466.9   521.2   648.1  1890.6 10163.7  30293.0    30395  1715431634249  1715431644367
read      335.8   196.5   160.7   217.5   230.0   307.9   353.4   382.6   403.9   431.2   465.7   520.8   651.9  1882.5  8323.7  30449.9    30400  1715431645876  1715431655987
read      335.8   223.3   160.7   219.2   232.1   308.0   351.1   378.7   399.5   425.9   460.0   511.8   634.5  2158.3  8907.4  30334.2    30405  1715431657496  1715431667614
read      335.9   190.9   160.7   220.3   233.6   311.2   355.8   382.9   402.5   428.0   460.3   508.8   624.7  1511.3  8209.0  30356.0    30410  1715431669124  1715431679243
read      348.6   237.9   160.7   221.1   235.7   319.7   367.6   396.6   418.7   445.4   480.9   539.3   679.2  1905.7 10361.5  30412.1    30415  1715431680751  1715431690871
read      342.6   223.1   160.7   220.6   234.8   316.2   361.6   389.4   409.9   435.3   468.4   523.0   646.9  1964.1  9947.5  30425.1    30420  1715431692381  1715431702504
read      340.8   210.0   160.7   218.8   231.8   313.9   361.3   389.9   410.9   436.2   470.3   526.0   656.2  1736.1 10032.7  30450.2    30425  1715431704012  1715431714137
read      347.4   226.8   160.7   221.7   237.1   321.0   367.3   394.8   415.5   439.9   471.9   528.8   660.2  2254.1  8885.2  30460.2    30430  1715431715646  1715431725763
read      357.5   229.8   160.7   222.6   238.6   330.7   379.6   408.3   430.3   457.3   493.8   552.3   700.2  1743.7 10933.1  30537.8    30435  1715431727272  1715431737389
read      332.5   215.4   160.7   223.1   236.6   306.0   345.5   371.8   392.7   418.2   452.0   502.5   614.6  1730.3 11428.3  30396.7    30440  1715431738896  1715431749012
read      342.3   215.5   160.7   220.1   233.9   313.7   359.4   388.3   410.0   436.4   471.6   530.6   668.8  2128.8  9536.2  30437.3    30445  1715431750521  1715431760629
read      339.4   216.7   160.7   219.3   232.7   312.3   358.1   386.2   406.7   432.9   467.3   522.6   649.6  1710.6 10218.1  30367.8    30450  1715431762137  1715431772253
read      348.1   195.1   160.7   224.7   239.3   320.9   368.3   397.5   419.6   445.9   481.0   537.3   665.1  1419.1  8454.9  30362.0    30455  1715431773759  1715431783877
read      335.4   216.2   160.7   220.2   233.0   306.3   350.5   379.4   401.3   428.2   462.8   514.9   630.6  2183.5  9959.3  30479.9    30460  1715431785386  1715431795505
read      336.9   238.7   160.7   219.9   233.0   307.9   350.7   378.6   400.0   427.3   462.5   516.7   647.2  2105.1 10548.5  30478.0    30465  1715431797017  1715431807142
read      344.7   233.2   160.7   220.6   234.7   317.1   364.0   392.1   413.1   438.0   471.3   526.7   653.4  2241.8  9872.3  30513.2    30470  1715431808651  1715431818775
read      345.4   214.6   160.7   218.6   233.6   317.6   364.6   393.8   415.9   442.4   477.6   535.6   668.1  1777.5  8775.9  30486.5    30475  1715431820283  1715431830401
read      340.7   234.0   160.7   222.6   237.4   312.9   355.3   382.8   403.5   430.4   464.8   518.0   634.1  2046.3  9953.3  30524.5    30480  1715431831908  1715431842025
Connection to 35.246.250.30 closed by remote host.

Recommendation: To check for possible causes of SSH connectivity issues and get
recommendations, rerun the ssh command with the --troubleshoot option.

gcloud compute ssh client-measure-3lhd --project=cca-eth-2024-group-022 --zone=europe-west3-a --ssh-key-file=/home/kamiem123/.ssh/cloud-computing --troubleshoot

Or, to investigate an IAP tunneling issue:

gcloud compute ssh client-measure-3lhd --project=cca-eth-2024-group-022 --zone=europe-west3-a --ssh-key-file=/home/kamiem123/.ssh/cloud-computing --troubleshoot --tunnel-through-iap

ERROR: (gcloud.compute.ssh) [/usr/bin/ssh] exited with return code [255].
